<oov> 1.0	oov
مشکلوں 1.0	M U SH K A L OON
سوچا 1.0	S OO TS AA
عجب 1.0	A DZ A B
پیمانے 1.0	P AE M AA N AY
پیپلز 1.0	P AE P A L Z
ٹرکوں 1.0	T A R K OON
فورٹ 1.0	F OO R T
پرواہ 1.0	P A R V AA
ونڈ 1.0	V I N D
رلایا 1.0	R U L AA J AA
تاب 1.0	TD AA B
تاج 1.0	TD AA DZ
اردو 1.0	A R DD UU
ذکی 1.0	Z A K II
بوعلی 1.0	B OO A L II
تار 1.0	TD AA R
ابوہریرہ 1.0	A B OO H R II R AA
ناظمہ 1.0	N AA Z I M AA
سفارشات 1.0	S I F AA R I SH AA TD
جرم 1.0	DZ U R M
سیٹھ 1.0	S AY TH
ڈوبتے 1.0	D UU B TD AY
والٹن 1.0	V AA L T A N
کھڑا 1.0	KH A RR AA
درست 1.0	DD A R A S TD
جوڑا 1.0	DZ OO RR AA
قاتلوں 1.0	Q AA TD I L OON
اسپیشل 1.0	I S P AY SH A L
خوابوں 1.0	X AA B OON
ہڑپ 1.0	H A RR A P
کاموں 1.0	K AA M OON
سیکھ 1.0	S II KH
پوسٹ 1.0	P OO S T
گیہوں 1.0	G AE H OON
خاموش 1.0	X AA M OO SH
پلوشہ 1.0	P A L OO SH AA
کمرہ 1.0	K A M R AA
سینیما 1.0	S AE N II M AA
رہنا 1.0	R A H N AA
غریبوں 1.0	GG A R II B OON
بہاولنگر 1.0	B A H UU L A NG G A R
مسکراہٹ 1.0	M U S K A R AA H A T
مائرہ 1.0	M AA I R AA
رہنے 1.0	R AEH H N AY
شفاف 1.0	SH I F F AA F
خیرسگالی 1.0	X AE R S I G AA L II
اخرم 1.0	A X R A M
حمد 1.0	H A M DD
روئی 1.0	R OO II
زدگان 1.0	Z A DD G AA N
مالیت 1.0	M AA L II J A TD
جوڑے 1.0	DZ OO RR AY
ہادیہ 1.0	H AA DD J AA
ہوشیار 1.0	H OO SH J AA R
اشتر 1.0	I SH TD A R
پڑاؤ 1.0	P A RR AA OO
درسی 1.0	DD A R S II
ردعمل 1.0	R A DD DD AY A M A L
نافعہ 1.0	N AA F I AA
شفاء 1.0	SH I F AA
مورچہ 1.0	M OO R TS AA
عسکری 1.0	A S K A R II
کھایا 1.0	KH AA J AA
ہشام 1.0	H A SH AA M
ثامر 1.0	S AA M I R
قربان 1.0	Q U R B AA N
دھبہ 1.0	DDH A B B AA
بولنگ 1.0	B OO L I NG
مشترکہ 1.0	M U SH TD A R K AA
دورانِ 1.0	DD O R AA N AY
خلف 1.0	X A L F
خلل 1.0	X A L L
معیار 1.0	M I J AA R
چنبیلی 1.0	TS A M B AY L II
واپس 1.0	V AA P S
لگائیں 1.0	L A G AA AYN
امتیاز 1.0	I M TD I J AA Z
خلا 1.0	X A L L AA
ساندہ 1.0	S AA N DD AY
دھوپ 1.0	DDH UU P
شرارت 1.0	SH A R AA R A TD
جاگنا 1.0	DZ AA G N AA
گاہک 1.0	G AA H A K
بیٹھے 1.0	B AE TH AY
ثامن 1.0	S AA M A N
بحریہ 1.0	B A H A R J AA
نایاب 1.0	N AA J AA B
زمہ 1.0	Z U M AA
تماشوئیوں 1.0	TD A M AA SH UU II OON
بیٹھا 1.0	B AE TH AA
کھاتا 1.0	KH AA TD AA
برعکس 1.0	B A R A K S
عالم 1.0	AA L I M
جاگنے 1.0	DZ AA G N AY
میکے 1.0	M AE K AY
گارمنٹس 1.0	G AA R M A N T S
بنچوں 1.0	B A N TS OON
مرکز 1.0	M U R K A Z
ڈاکٹرز 1.0	D AA K T A R Z
عفت 1.0	I F F A TD
انشراح 1.0	I N SH I R AA
نصاب 1.0	N I S AA B
ترتیب 1.0	TD A R TD II B
بحرین 1.0	B A H R II N
اسکولوں 1.0	I S K UU L OON
حزیم 1.0	H A Z II M
فہمی 1.0	F AEH H M II
تباہی 1.0	TD A B AA H II
سچے 1.0	S A TS TS AY
کشمیری 1.0	K A SH M II R II
کارکن 1.0	K AA R K U N
بجاتا 1.0	B A DZ AA TD AA
سیاستدان 1.0	S II AA S TD I DD AA N
دھجیاں 1.0	DDH U DZ DZ I J AAN
تجربے 1.0	TD A DZ R A B AY
تبصرے 1.0	TD A B S A R AY
تمہارا 1.0	TD U M H AA R AA
تجربہ 1.0	TD A DZ R I B AA
عرفانہ 1.0	I R F AA N AA
تجربات 1.0	TD A DZ R I B AA TD
اظہارکِیا 1.0	I Z H AA R AY K I J AA
شیما 1.0	SH AE M AA
زاہر 1.0	Z AA H I R
ملکوال 1.0	M A L K A V AA L
راگنی 1.0	R AA G N II
ضیا 1.0	Z A J AA
زاہد 1.0	Z AA H I DD
کاروبار 1.0	K AA R OO B AA R
ہماس 1.0	H A M M AA S
پھولنا 1.0	PH UU L N AA
سمندر 1.0	S A M A N DD A R
مبینہ 1.0	M U B II N AA
حسنات 1.0	H A S A N AA TD
سائیکلیں 1.0	S AA II K L AYN
رئیسہ 1.0	R A II S AA
ہمان 1.0	H A M AA N
حسناء 1.0	H I S N AA
عطیات 1.0	A TD I J AA TD
تنخواہ 1.0	TD A N X AA
گھوٹکی 1.0	GH OO T K II
بنایا 1.0	B A N AA J AA
سچا 1.0	S A TS TS AA
کمیشن 1.0	K A M II SH A N
طاقتیں 1.0	TD AA Q A TD AYN
اڑاؤ 1.0	U RR AA OO
قرض 1.0	Q A R Z
ضمنی 1.0	Z I M A N II
فہیمہ 1.0	F A H II M AA
صوابی 1.0	S A V V AA B II
گولی 1.0	G OO L II
بیٹھتا 1.0	B AE TH TD AA
حقانی 1.0	H A Q Q AA N II
ڈاکہ 1.0	D AA K AA
کمپنیوں 1.0	K A M P A N II OON
نہس 1.0	N A H A S
نہر 1.0	N AEH H R
بشیر 1.0	B A SH II R
لللہ 1.0	L A L L A H
نہا 1.0	N A H H AA
بسی 1.0	B A S II
شرٹ 1.0	SH A R T
کھیلیں 1.0	KH AY L AYN
بسا 1.0	B A S AA
چربہ 1.0	TS A R B AA
اظہار 1.0	I Z H AA R
جعلی 1.0	DZ AA L II
وانا 1.0	V AA N AA
جھنگ 1.0	DZH A NG
قزافی 1.0	Q A Z Z AA F II
اڑانے 1.0	U RR AA N AY
قیامت 1.0	Q I J AA M A TD
ڈیوٹی 1.0	D I J UU T II
دلبر 1.0	DD I L B A R
صباح 1.0	S A B AA
ڈاکو 1.0	D AA K OO
برا 1.0	B A R AA
غازی 1.0	GG AA Z II
نہی 1.0	N A H II
گھریلو 1.0	GH A R AY L UU
عظیمہ 1.0	A Z II M AA
دیہی 1.0	DD AY H II
آپس 1.0	AA P S
روپے 1.0	R UU P AY
نگلہ 1.0	N I G L AA
بیٹھتے 1.0	B AE TH TD AY
کیفرِکردار 1.0	K AE F A R AY K A R DD AA R
تمہارے 1.0	TD U M H AA R AY
بچت 1.0	B A TS A TD
کومدِنظر 1.0	K OO M DD AY N A Z A R
غذا 1.0	GG I Z AA
غیور 1.0	GG A J J UU R
منانے 1.0	M A N AA N AY
ذبح 1.0	Z A B H
پوچھا 1.0	P UU TSH AA
قلات 1.0	Q A L L AA TD
دفتر 1.0	DD A F TD A R
لگانا 1.0	L A G AA N AA
فرخندہ 1.0	F A R X A N DD AA
سکندر 1.0	S I K A N DD A R
تارص 1.0	TD AA R I S
اسد 1.0	A S A DD
مطمئن 1.0	M U TD M A I N
شبیر 1.0	SH A B II R
مسلمان 1.0	M U S L I M AA N
محمود 1.0	M A H M UU DD
چلے 1.0	TS A L L AY
حمیدہ 1.0	H A M II DD AA
بڑوں 1.0	B A RR OON
قیمتی 1.0	Q II M TD II
افسانے 1.0	A F S AA N AY
مجالسِ 1.0	M U DZ AA L I S AY
پمپ 1.0	P A M P
قیدیوں 1.0	Q AE DD II OON
ٹیکنالوجی 1.0	T AE K N AA L OO DZ II
بارانی 1.0	B AA R AA N II
بکھیرنی 1.0	B A KH AY R N II
دریا 1.0	DD A R J AA
زندہ 1.0	Z I N DD AA
ڈنگہ 1.0	D A NG G AA
زلیخا 1.0	Z U L AY X AA
چلا 1.0	TS A L L AA
احتیاط 1.0	I H TD I J AA TD
جیکب 1.0	DZ AE K A B
اسے 1.0	A S AY
مخلص 1.0	M U X A L L I S
ترقی 1.0	TD A R A Q Q II
چلن 1.0	TS A L A N
چلو 1.0	TS A L OO
ڈر 1.0	D A R
علاقے 1.0	A L L AA Q AY
دشوار 1.0	DD U SH V AA R
کاروبارِ 1.0	K AA R OO B AA R AY
آشفتہ 1.0	AA SH U F TD AA
اونٹ 1.0	UU N T
حصے 1.0	H I S S AY
حصہ 1.0	H I S S AA
زیرِ 1.0	Z AY R AY
نافذ 1.0	N AA F I Z
ہالوں 1.0	H AA L OON
البم 1.0	A L B A M
زرینہ 1.0	Z A R II N AA
انڈسٹری 1.0	I N D A S T A R II
ڈے 1.0	D AY
ڈی 1.0	D II
صاعقہ 1.0	S AA I Q AA
پلنگ 1.0	P A L A NG
باہر 1.0	B AA H A R
بنوں 1.0	B A N OON
تلہ 1.0	TD A L L AA
امکانات 1.0	I M K AA N AA TD
ٹاور 1.0	T AA V A R
ذمہ 1.0	Z I M M AA
تلے 1.0	TD A L AY
تلخ 1.0	TD A L X
ضلع 1.0	Z A L
سفینہ 1.0	S A F II N AA
ونشریات 1.0	V A N SH A R J AA TD
ترین 1.0	TD A R II N
ساڑھے 1.0	S AA RRH AY
احتسابی 1.0	AY H TD I S AA B II
گارڈن 1.0	G AA R D A N
چوہدری 1.0	TS O H DD R II
ساڑھی 1.0	S AA RRH II
دیئے 1.0	DD II AY
معطل 1.0	M U A TD TD I L
پنجگور 1.0	P A N DZ G UU R
ذرائع 1.0	Z A R AA AY
اختر 1.0	I X TD A R
جاریہ 1.0	DZ AA R J AA
تھپتھپائیں 1.0	TDH A P TDH A P AA AYN
نشاط 1.0	N A SH SH AA TD
جٹرانوالہ 1.0	DZ A T R AA N V AA L AA
سانحہ 1.0	S AA N I H AA
وارداتوں 1.0	V AA R DD AA TD OON
اخلاقی 1.0	I X L AA Q II
ماننا 1.0	M AA N N AA
عیسی 1.0	AE S II
سانحے 1.0	S AA N H AY
حصص 1.0	H I S S
انتقام 1.0	I N TD I Q AA M
گوشی 1.0	G OO SH II
امیرہ 1.0	A M II R AA
دھماکے 1.0	DDH A M AA K AY
مؤقف 1.0	M UU A Q Q A F
ماڈل 1.0	M AA D A L
طاؤس 1.0	TD AA UU S
راشد 1.0	R AA SH I DD
جیسا 1.0	DZ AE S AA
رائمہ 1.0	R AA I M AA
محلہ 1.0	M U H A L L AA
مہریں 1.0	M OOH H R AYN
درخواست 1.0	DD A R X AA S TD
سلیقے 1.0	S A L II Q AY
محلے 1.0	M A H L AY
روائتی 1.0	R I V AA II TD II
سلیقہ 1.0	S A L II Q AA
بلوں 1.0	B A L OON
چھتری 1.0	TSH A TD R II
پہنچایا 1.0	P AEH H N TS AA J AA
نچلی 1.0	N I TS L II
شمائلہ 1.0	SH A M AA I L AA
رؤف 1.0	R A UU F
امراء 1.0	A M R AA
عمدہ 1.0	A M DD AA
سڑک 1.0	S A RR A K
چاہیئے 1.0	TS AA H II AY
نجمہ 1.0	N A DZ M AA
نچلے 1.0	N I TS L AY
امراض 1.0	A M R AA Z
آراء 1.0	AA R AA
نتیجہ 1.0	N A TD II DZ AA
محفوظ 1.0	M A H F UU Z
فنکاروں 1.0	F A N K AA R OON
منتخب 1.0	M U N TD A X A B
عبیدہ 1.0	A B II DD AA
ججوں 1.0	DZ I DZ UUN
منزلیں 1.0	M A N Z I L AYN
ابوالحسن 1.0	A B V A L H A S A N
ضامن 1.0	Z AA M I N
ہیام 1.0	H I J AA M
جاپان 1.0	DZ AA P AA N
آرام 1.0	AA R AA M
منیر 1.0	M U N II R
خادمہ 1.0	X AA DD I M AA
فائقہ 1.0	F AA I Q AA
مزنہ 1.0	M A Z N AA
ٹیکسالی 1.0	T AE K S AA L II
دیبا 1.0	DD II B AA
کڑے 1.0	K A RR AY
منطر 1.0	M A N TD A R
سلا 1.0	S I L AA
مصنفین 1.0	M U S A N F I J A N
مطالبات 1.0	M U TD AA L A B AA TD
عمر 1.0	U M A R
بااثر 1.0	B AA A S A R
منطق 1.0	M U N TD I Q
پڑنے 1.0	P A RR N AY
بندھی 1.0	B A N DDH II
عمل 1.0	A M A L
رافعہ 1.0	R AA F I AA
تقریب 1.0	TD A Q R II B
بہاؤالدین 1.0	B A H A V AA L DD II N
ڈیڑھ 1.0	D AY RRH
عصمت 1.0	I S M A TD
مزنگ 1.0	M A Z I NG
اریبہ 1.0	A R II B AA
تقریر 1.0	TD A Q R II R
مومنا 1.0	M OO M N AA
امپائروں 1.0	I M P AA I R OON
فیض 1.0	F AE Z
طبلہ 1.0	TD A B L AA
بندھن 1.0	B A N DDH A N
لگاؤ 1.0	L A G AA OO
تھیٹروں 1.0	TDH AY T R OON
سلطان 1.0	S U L TD AA N
خدمات 1.0	X I DD M AA TD
فیل 1.0	F AY L
مشینں 1.0	M A SH II N
شبہات 1.0	SH A B H AA TD
ذرا 1.0	Z A R R AA
قیمتیں 1.0	Q II M A TD AYN
جامی 1.0	DZ AA M II
ابوالخیر 1.0	A B V A L X AY R
تاریخی 1.0	TD AA R II X II
حربی 1.0	H A R B II
آفات 1.0	AA F AA TD
گرمی 1.0	G I R M II
خاکے 1.0	X AA K AY
لگی 1.0	L A G II
کائنات 1.0	K AA I N AA TD
پکڑ 1.0	P A K K A RR
مردانہ 1.0	M A R DD AA N AA
اشعار 1.0	A SH AA R
لگے 1.0	L A G AY
طرف 1.0	TD A R F
مِلی 1.0	M I L II
طرز 1.0	TD A R Z
طرح 1.0	TD A R H
چل 1.0	TS I L
واحدہ 1.0	V AA H I DD AA
انشال 1.0	I N SH AA L
مہنگا 1.0	M A H NG G AA
چپ 1.0	TS A P
آفاق 1.0	AA F AA Q
چچی 1.0	TS A TS II
دامنِکوہ 1.0	DD AA M I N I K V AA
فہد 1.0	F A H DD
واقع 1.0	V AA Q AY
سنایا 1.0	S U N AA J AA
مہنگی 1.0	M AEH H NG II
تلواڑہ 1.0	TD A L V AA RR AA
تاریخِ 1.0	TD AA R II X AY
ابساط 1.0	A B S AA TD
مذہب 1.0	M A Z H A B
پکا 1.0	P A K K AA
تبدیل 1.0	TD A B DD II L
مِلا 1.0	M I L AA
لگن 1.0	L A G A N
چھ 1.0	TSH AY
واحدت 1.0	V AA H I DD A TD
ٹوٹنے 1.0	T UU T N AY
چک 1.0	TS A K
کموک 1.0	K A M UU K
مردان 1.0	M U R DD AA N
مختاری 1.0	M U X TD AA R II
تمنا 1.0	TD A M A N N AA
لگا 1.0	L A G AA
شورکوٹ 1.0	SH OO R K OO T
ابسام 1.0	A B S AA M
شادیوں 1.0	SH AA DD II OON
فہمیدہ 1.0	F AEH H M II DD AA
متبادل 1.0	M U TD A B AA DD I L
جامد 1.0	DZ AA M I DD
گرما 1.0	G A R M AA
اسلم 1.0	A S L A M
جامع 1.0	DZ AA M AY
کلمات 1.0	K A L A M M AA TD
اُسے 1.0	U S AY
سارک 1.0	S AA R K
رفتہ 1.0	R A F TD AA
میزبان 1.0	M AY Z B AA N
فوزیہ 1.0	F OO Z I J AA
گجرات 1.0	G U DZ R AA TD
ٹینٹ 1.0	T AE N T
مخالفت 1.0	M U X AA L A F A TD
راکا 1.0	R AA K AA
شارقہ 1.0	SH AA R Q AA
بہترین 1.0	B AEH H TD A R II N
بولتے 1.0	B OO L TD AY
سیاست 1.0	S I J AA S A TD
سارہ 1.0	S AA R AA
ساری 1.0	S AA R II
سکیں 1.0	S A K AYN
سپاہی 1.0	S I P AA H II
تحفہِ 1.0	TD A H F AA AY
تعمیروترقی 1.0	TD AA M II R OO TD A R Q II
علامہ 1.0	A L L AA M AA
گھوڑیاں 1.0	GH OO RR II AAN
سارے 1.0	S AA R AY
ٹینا 1.0	T II N AA
پردے 1.0	P A R DD AY
مبارکباد 1.0	M U B AA R A K B AA DD
سارا 1.0	S AA R AA
ناواقف 1.0	N AA V AA Q I F
بنانا 1.0	B A N AA N AA
مانتا 1.0	M AA N TD AA
غزالہ 1.0	GG A Z AA L AA
سکیم 1.0	S A K II M
پیکنگ 1.0	P AE K I NG
بولتا 1.0	B OO L TD AA
راکھ 1.0	R AA KH
دورے 1.0	DD O R AY
نشین 1.0	N A SH II N
دورہ 1.0	DD O R AA
وائرس 1.0	V AA I R A S
جنوری 1.0	DZ A N V A R II
نعیمہ 1.0	N A II M AA
چھلکوں 1.0	TSH A L K OON
ہمسائے 1.0	H A M S AA AY
ٹینک 1.0	T AE N K
پہننے 1.0	P AEH H A N N AY
مچایا 1.0	M A TS AA J AA
اجاڑ 1.0	U DZ AA RR
ڈھارس 1.0	DH AA R A S
نبی 1.0	N A B II
مخوص 1.0	M U X UU S
منرو 1.0	M A N R UU
ویرانوں 1.0	V II R AA N OON
سوکھ 1.0	S UU KH
سبزیاں 1.0	S A B Z I J AAN
خدیجہ 1.0	X A DD II DZ AA
قنبر 1.0	Q A M B A R
محنت 1.0	M AY H N A TD
دئے 1.0	DD I AY
مگر 1.0	M A G A R
سہولتوں 1.0	S U H UU L A TD OON
تنخواہیں 1.0	TD A N X AA H AYN
امیدواروں 1.0	U M II DD V AA R OON
دیتا 1.0	DD AY TD AA
وکٹوں 1.0	V I K T OON
عاکف 1.0	AA K I F
لکشمی 1.0	L A K SH A M II
شفیقہ 1.0	SH A F II Q AA
بشارت 1.0	B A SH AA R A TD
کرکٹ 1.0	K A R K A T
تمھارا 1.0	TD U M AA R AA
بکاؤ 1.0	B A K AA OO
ا 1.0	A
حائر 1.0	H AA I R
ڈیزائین 1.0	D II Z AA II N
دیتے 1.0	DD AY TD AY
دیتی 1.0	DD AY TD II
انٹرویو 1.0	I N T A R V II V
پھیلانے 1.0	PH AE L AA N AY
فصلیں 1.0	F A S L AYN
حرا 1.0	H U R R AA
الزام 1.0	I L Z AA M
فخریہ 1.0	F A X R I J AA
یونیورسٹی 1.0	J UU N II V A R S I T II
نبض 1.0	N A B Z
رستم 1.0	R U S TD A M
آدمیوں 1.0	AA DD M II OON
قبرستان 1.0	Q A B R I S TD AA N
افزائی 1.0	AA F Z AA II
ابتداء 1.0	I B TD I DD AA
درانی 1.0	DD U R AA N II
اولین 1.0	O L II N
بیلا 1.0	B AY L AA
قصور 1.0	Q U S UU R
پیر 1.0	P II R
رہا 1.0	R A H AA
پیش 1.0	P AY SH
زکیہ 1.0	Z A K J AA
اقسام 1.0	A Q S AA M
دوائیوں 1.0	DD A V AA II OON
ہال 1.0	H AA L
نفاذ 1.0	N A F AA Z
کوٹری 1.0	K OO T R II
معاشرہ 1.0	M U AA SH A R AA
ناصر 1.0	N AA S I R
معاشرے 1.0	M U AA SH R AY
انتظامات 1.0	I N TD I Z AA M AA TD
پیٹ 1.0	P II T
خیبر 1.0	X AE B A R
ہار 1.0	H AA R
اخبارات 1.0	A X B AA R AA TD
بلتستان 1.0	B A L TD I S TD AA N
فرصت 1.0	F A R S A TD
فلموں 1.0	F I L M OON
حبیب 1.0	H A B II B
پیڑ 1.0	P II RR
کرشن 1.0	K A R A SH N
تنزیل 1.0	TD A N Z II L
ذریعے 1.0	Z A R II AY
زیرِبحث 1.0	Z AY R AY B A H S
طالبعلم 1.0	TD AA L AY B AY L A M
ذریعہ 1.0	Z A R II AA
مثالی 1.0	M I S AA L II
اداکاراؤں 1.0	A DD AA K AA R AA OON
رہے 1.0	R A H AY
سکرپٹ 1.0	S I K R I P T
گاؤں 1.0	G AA UUN
رہی 1.0	R A H II
اگر 1.0	A G A R
حیرانی 1.0	H AE R AA N II
لکھوں 1.0	L I KH KH OON
برطرفی 1.0	B A R TD A R F II
ترسی 1.0	TD A R S II
ٹیلی 1.0	T AY L II
ماہانہ 1.0	M AA H AA N AA
غفوراں 1.0	GG A F UU R AAN
نوفل 1.0	N O F I L
رقوم 1.0	R A Q UU M
خریدتے 1.0	X A R II DD TD AY
بھجوا 1.0	BH I DZ V AA
کثیر 1.0	K A S II R
انتظامیہ 1.0	I N TD I Z AA M I J AA
ورزی 1.0	V A R Z II
دیکھیں 1.0	DD AY KH AYN
دنیا 1.0	DD U N J AA
مھین 1.0	M II N
پورے 1.0	P UU R AY
انصاف 1.0	I N S AA F
پورہ 1.0	P UU R AA
اہلکار 1.0	A H A L K AA R
پوری 1.0	P UU R II
نیاز 1.0	N I J AA Z
نشانیاں 1.0	N I SH AA N I J AAN
میو 1.0	M I J UU
رئیس 1.0	R A II S
سبھی 1.0	S A BH II
پورا 1.0	P UU R AA
میلے 1.0	M II L AY
ورزش 1.0	V A R Z I SH
گھروں 1.0	GH A R OON
سبزیوں 1.0	S A B Z II J OON
افواج 1.0	A F V AA DZ
قبائلی 1.0	Q A B AA I L II
شعور 1.0	SH U UU R
بنیادوں 1.0	B U N J AA DD OON
باشندہ 1.0	B AA SH I N DD AA
زیبا 1.0	Z AY B AA
پیتے 1.0	P II TD AY
سعد 1.0	S AA DD
دوست 1.0	DD OO S TD
سہالہ 1.0	S A H AA L AA
تاشفین 1.0	TD AA SH I F II N
شہاب 1.0	SH A H AA B
ڈھاٹا 1.0	DH AA T AA
میئر 1.0	M AY A R
رکتی 1.0	R U K TD II
صلاح 1.0	S A L L AA
ٹاس 1.0	T AA S
بندرگاہوں 1.0	B A N DD A R G AA H OON
لگنے 1.0	L A G N AY
اہلِ 1.0	A H L AY
انجم 1.0	I N DZ A M
فرزین 1.0	F A R Z II N
چوک 1.0	TS O K
ضروریات 1.0	Z U R UU R II J AA TD
سنائیے 1.0	S U N AA II AY
خوراک 1.0	X O R AA K
ووٹنگ 1.0	V UU T I NG
اوکاڑہ 1.0	O K AA RR AA
لڑکو 1.0	L A RR K OO
اسّی 1.0	A S S II
مشورہ 1.0	M A SH V A R AA
ارکانِ 1.0	A R K AA N AY
مشورے 1.0	M A SH V A R AY
ادویات 1.0	A DD V I J AA TD
عاقلہ 1.0	AA Q I L AA
گیتوں 1.0	G II TD OON
سمن 1.0	S A M A N
طائی 1.0	TD AA II
منٹو 1.0	M I N T OO
سائرہ 1.0	S AA I R AA
پرتکلف 1.0	P U R TD A K A L L U F
زیادہ 1.0	Z I J AA DD AA
چھٹی 1.0	TSH A T T II
نکلیں 1.0	N I K L AYN
اسامہ 1.0	A S AA M AA
رکھیں 1.0	R A K KH AYN
چھٹا 1.0	TSH A T T AA
طائر 1.0	TD AA I R
پنکھوں 1.0	P A N KH OON
چوا 1.0	TS U V AA
لڑکے 1.0	L A RR K AY
نوید 1.0	N A V II DD
نویس 1.0	N A V II S
لڑکی 1.0	L A RR K II
اشبر 1.0	A SH B A R
دوکاندار 1.0	DD UU K AA N DD AA R
دوکان 1.0	DD UU K AA N
گراؤنڈ 1.0	G A R AA UU N D
مزہبی 1.0	M A Z H A B II
چہرے 1.0	TS AEH H R AY
الیاس 1.0	I L J AA S
چہرہ 1.0	TS AEH H R AA
امام 1.0	A M M AA M
امان 1.0	A M AA N
تصدق 1.0	TD A S A DD DD U Q
بینظیر 1.0	B AE N A Z II R
مقررین 1.0	M U Q A R R I R II N
ایماندار 1.0	II M AA N DD AA R
چیچہ 1.0	TS II TS AA
سرما 1.0	S A R M AA
بورڈ 1.0	B OO R D
کوچ 1.0	K OO TS
ابوذر 1.0	A B UU Z A R
سلامتی 1.0	S A L AA M TD II
ہنر 1.0	H A N A R
الہی 1.0	I L H II
ہنس 1.0	H A N S
انڈر 1.0	A N D A R
تلخی 1.0	TD A L X II
ٹوپی 1.0	T OO P II
جھیکا 1.0	DZH II K AA
کشتی 1.0	K U SH TD II
عابدہ 1.0	AA B I DD AA
کڑوی 1.0	K A RR V II
اقتصادی 1.0	I Q TD I S AA DD II
سنھبال 1.0	S A M B AA L
لڑکیاں 1.0	L A RR K I J AAN
تہمینہ 1.0	TD AEH H M II N AA
فقدان 1.0	F U Q DD AA N
مچا 1.0	M A TS AA
پالیسیوں 1.0	P AA L II S II OON
بیلٹ 1.0	B AE L A T
حقوق 1.0	H U Q UU Q
پرست 1.0	P A R A S TD
پیچھے 1.0	P II TSH AY
انڈے 1.0	U N D AY
اِن 1.0	I N
محرومی 1.0	M A H R UU M II
کمیونیکیشن 1.0	K A M J UU N II K AY SH A N
ہنی 1.0	H A N II
خورشید 1.0	X U R SH II DD
کون 1.0	K OO N
اِس 1.0	I S
کوٹ 1.0	K OO T
پارکنگ 1.0	P AA R K I NG
لپیٹ 1.0	L A P AY T
گواہ 1.0	G A V AA
مختصر 1.0	M U X TD A S A R
ماریہ 1.0	M AA R J AA
کانفرس 1.0	K AA N F A R A S
شاندار 1.0	SH AA N DD AA R
لوگ 1.0	L OO G
دستخط 1.0	DD A S TD X A TD
رضاکار 1.0	R A Z AA K AA R
درسگاہیں 1.0	DD A R A S G AA H AYN
چھتر 1.0	TSH A TD TD A R
جہلم 1.0	DZ A H L A M
عوامی 1.0	A V AA M II
تمیزی 1.0	TD A M II Z II
ذرہ 1.0	Z A R R AA
ابتدائی 1.0	I B TD I DD AA II
مارے 1.0	M AA R AY
تصور 1.0	TD A S UU R
منصوبہ 1.0	M A N S UU B AA
خاور 1.0	X AA V A R
بیویاں 1.0	B AY V I J AAN
شنگریلا 1.0	SH A NG R II L A N
جھیل 1.0	DZH AY L
کوشش 1.0	K OO SH I SH
نقصان 1.0	N U Q S AA N
منتظم 1.0	M U N TD A Z A M
وظیفہ 1.0	V A Z II F AA
فقیر 1.0	F A Q II R
شمعون 1.0	SH A M UU N
بھرمار 1.0	BH A R M AA R
خان 1.0	X AA N
ٹھوکریں 1.0	TH OO K R AYN
ناجدہ 1.0	N AA DZ I DD AA
پست 1.0	P I S TD
التمش 1.0	I L TD A M A SH
سیدھے 1.0	S II DDH AY
عوامل 1.0	A V AA M I L
ریکارڈ 1.0	R II K AA R D
رامین 1.0	R AA M II N
درویش 1.0	DD A R V AY SH
ارکان 1.0	A R K AA N
تحفوں 1.0	TD A H F OON
سمت 1.0	S A M TD
غربت 1.0	GG A R B A TD
چنیوٹ 1.0	TS A N J UU T
لوٹ 1.0	L OO T
ضروریاتِ 1.0	Z A R UU R II J AA TD AY
مذکورہ 1.0	M A Z K UU R AA
کِیا 1.0	K I J AA
تحقیقات 1.0	TD A H Q II Q AA TD
ٹھہر 1.0	TH A H A R
ایٹمی 1.0	AE T M II
تعمیرِنو 1.0	TD AA M II R AY N O
اطلاعات 1.0	I TD TD I L AA TD AA TD
نشستیں 1.0	N A SH A S TD AYN
سیکٹر 1.0	S AE K T A R
گلے 1.0	G A L L AY
خوبصورت 1.0	X UU B S UU R A TD
فورنیا 1.0	F OO R N I J AA
فائلوں 1.0	F AA I L OON
جاندار 1.0	DZ AA N DD AA R
طائرہ 1.0	TD AA I R AA
ندرت 1.0	N A DD R A TD
بارات 1.0	B AA R AA TD
جیسی 1.0	DZ AE S II
جنوبی 1.0	DZ U N UU B II
رسائی 1.0	R A S AA II
دبئی 1.0	DD U B A II
دلشاد 1.0	DD I L SH AA DD
پڑول 1.0	P A RR OO L
بَن 1.0	B A N
ہوگئے 1.0	H OO G I AY
آصف 1.0	AA S I F
خیل 1.0	X AE L
توقع 1.0	TD A V A Q Q OO
اطلاعت 1.0	A TD TD I L AA A TD
پروین 1.0	P A R V AE N
نوبت 1.0	N O B A TD
باقاعدہ 1.0	B AA Q AA I DD AA
بیرکوں 1.0	B AE R K OON
گلفام 1.0	G U L F AA M
ارشاد 1.0	I R SH AA DD
ظفر 1.0	Z A F A R
چپکے 1.0	TS A P K AY
پرویز 1.0	P A R V AY Z
حقیقت 1.0	H A Q II Q A TD
داور 1.0	DD AA V A R
خیر 1.0	X AE R
کنندگان 1.0	K U N I N DD G AA N
کاشتکار 1.0	K AA SH TD K AA R
لچک 1.0	L A TS A K
پیئیں 1.0	P II AYN
عدیلہ 1.0	A DD II L AA
