<oov> 1.0	oov
حسن 1.0	H U S A N
جبین 1.0	D_Z A B II N
گائے 1.0	G A_A A_Y
افشین 1.0	A F S_H I J A N
نکالا 1.0	N I K A_A L A_A
بٹوہ 1.0	B A T V A_A
رمشاء 1.0	R A M S_H A_A
اکرم 1.0	A K R A M
پہاڑی 1.0	P A H A_A R_R II
بٹوے 1.0	B A T V A_Y
عدلیہ 1.0	A D_D L I J A_A
ہلاک 1.0	H A L L A_A K
اپیل 1.0	A P II L
واضح 1.0	V A_A Z A_Y
طلاق 1.0	T_D A L L A_A Q
طلال 1.0	T_D A L A_A L
چینل 1.0	TS AE N A L
سونیا 1.0	S O_O N I J A_A
اُس 1.0	U S
سطح 1.0	S A T_D H
روایت 1.0	R I V A_A J A T_D
بریانی 1.0	B A R J A_A N II
مزدوروں 1.0	M A Z D_D U_U R O_O_N
اندھا 1.0	A N D_D_H A_A
حسب 1.0	H A S A B
ایمانداری 1.0	II M A_A N D_D A_A R II
مشتمل 1.0	M U S_H T_D A M I L
لانے 1.0	L A_A N A_Y
اندھی 1.0	A N D_D_H II
مایا 1.0	M A_A J A_A
مقام 1.0	M U Q A_A M
نا 1.0	N A_A
بابرہ 1.0	B A_A B A R A_A
سواریاں 1.0	S A V A_A R I J A_A_N
گئے 1.0	G I A_Y
ہلال 1.0	H A L L A_A L
بول 1.0	B O_O L
چینی 1.0	TS II N II
بہتری 1.0	B AE_H H T_D A R II
نعمت 1.0	N A_Y M A T_D
چوبرجی 1.0	TS O B A R D_Z II
وصول 1.0	V U S U_U L
جیون 1.0	D_Z II V A N
چانسلر 1.0	TS A_A N S L A R
شاباش 1.0	S_H A_A B A_A S_H
ملا 1.0	M I L L A_A
ایکشن 1.0	AE K S_H A N
جات 1.0	D_Z A_A T_D
ظلم 1.0	Z U L M
انتظام 1.0	I N T_D I Z A_A M
کلینک 1.0	K A L II N I K
حافظہ 1.0	H A_A F I Z A_A
خواہشات 1.0	X A_A H I S_H A_A T_D
پرواز 1.0	P A R V A_A Z
الاقوامی 1.0	A L A_A Q V A_A M II
ادیب 1.0	A D_D II B
صولت 1.0	S U_U L A T_D
جمرود 1.0	D_Z A M R U_U D_D
پاکپتن 1.0	P A_A K P A T_D A N
مینارِپاکستان 1.0	M II N A_A R I P A_A K I S T_D A_A N
ادیم 1.0	A D_D II M
کریں 1.0	K U R R A_Y_N
بروئے 1.0	B A R V I A_Y
بیہودہ 1.0	B A_Y H U_U D_D A_A
پروان 1.0	P A R V A_A N
کوٹلی 1.0	K O_O T L II
ترجح 1.0	T_D A R D_Z A_A
بہزاد 1.0	B AE_H H Z A_A D_D
انتظار 1.0	I N T_D I Z A_A R
ساجدہ 1.0	S A_A D_Z I D_D A_A
جھلس 1.0	D_Z_H U L A S
تان 1.0	T_D A_A N
ہوشمند 1.0	H O_O S_H M A N D_D
عہدےداروں 1.0	O_O_H H D_D A_Y D_D A_A R O_O_N
نمائندے 1.0	N U M A_A I N D_D A_Y
تمہیں 1.0	T_D U M H A_Y_N
فوجی 1.0	F O_O D_Z II
معاشرتی 1.0	M U A_A S_H A R T_D II
کریم 1.0	K A R II M
مشکلوں 1.0	M U S_H K A L O_O_N
سوچا 1.0	S O_O TS A_A
عجب 1.0	A D_Z A B
پیمانے 1.0	P AE M A_A N A_Y
پیپلز 1.0	P AE P A L Z
ٹرکوں 1.0	T A R K O_O_N
فورٹ 1.0	F O_O R T
پرواہ 1.0	P A R V A_A
ونڈ 1.0	V I N D
رلایا 1.0	R U L A_A J A_A
تاب 1.0	T_D A_A B
تاج 1.0	T_D A_A D_Z
اردو 1.0	A R D_D U_U
ذکی 1.0	Z A K II
بوعلی 1.0	B O_O A L II
تار 1.0	T_D A_A R
ابوہریرہ 1.0	A B O_O H R II R A_A
ناظمہ 1.0	N A_A Z I M A_A
سفارشات 1.0	S I F A_A R I S_H A_A T_D
جرم 1.0	D_Z U R M
سیٹھ 1.0	S A_Y T_H
ڈوبتے 1.0	D U_U B T_D A_Y
والٹن 1.0	V A_A L T A N
کھڑا 1.0	K_H A R_R A_A
درست 1.0	D_D A R A S T_D
جوڑا 1.0	D_Z O_O R_R A_A
قاتلوں 1.0	Q A_A T_D I L O_O_N
اسپیشل 1.0	I S P A_Y S_H A L
خوابوں 1.0	X A_A B O_O_N
ہڑپ 1.0	H A R_R A P
کاموں 1.0	K A_A M O_O_N
سیکھ 1.0	S II K_H
پوسٹ 1.0	P O_O S T
گیہوں 1.0	G AE H O_O_N
خاموش 1.0	X A_A M O_O S_H
پلوشہ 1.0	P A L O_O S_H A_A
کمرہ 1.0	K A M R A_A
سینیما 1.0	S AE N II M A_A
رہنا 1.0	R A H N A_A
غریبوں 1.0	G_G A R II B O_O_N
بہاولنگر 1.0	B A H U_U L A N_G G A R
مسکراہٹ 1.0	M U S K A R A_A H A T
مائرہ 1.0	M A_A I R A_A
رہنے 1.0	R AE_H H N A_Y
شفاف 1.0	S_H I F F A_A F
خیرسگالی 1.0	X AE R S I G A_A L II
اخرم 1.0	A X R A M
حمد 1.0	H A M D_D
روئی 1.0	R O_O II
زدگان 1.0	Z A D_D G A_A N
مالیت 1.0	M A_A L II J A T_D
جوڑے 1.0	D_Z O_O R_R A_Y
ہادیہ 1.0	H A_A D_D J A_A
ہوشیار 1.0	H O_O S_H J A_A R
اشتر 1.0	I S_H T_D A R
پڑاؤ 1.0	P A R_R A_A O_O
درسی 1.0	D_D A R S II
ردعمل 1.0	R A D_D D_D A_Y A M A L
نافعہ 1.0	N A_A F I A_A
شفاء 1.0	S_H I F A_A
مورچہ 1.0	M O_O R TS A_A
عسکری 1.0	A S K A R II
کھایا 1.0	K_H A_A J A_A
ہشام 1.0	H A S_H A_A M
ثامر 1.0	S A_A M I R
قربان 1.0	Q U R B A_A N
دھبہ 1.0	D_D_H A B B A_A
بولنگ 1.0	B O_O L I N_G
مشترکہ 1.0	M U S_H T_D A R K A_A
دورانِ 1.0	D_D O R A_A N A_Y
خلف 1.0	X A L F
خلل 1.0	X A L L
معیار 1.0	M I J A_A R
چنبیلی 1.0	TS A M B A_Y L II
واپس 1.0	V A_A P S
لگائیں 1.0	L A G A_A A_Y_N
امتیاز 1.0	I M T_D I J A_A Z
خلا 1.0	X A L L A_A
ساندہ 1.0	S A_A N D_D A_Y
دھوپ 1.0	D_D_H U_U P
شرارت 1.0	S_H A R A_A R A T_D
جاگنا 1.0	D_Z A_A G N A_A
گاہک 1.0	G A_A H A K
بیٹھے 1.0	B AE T_H A_Y
ثامن 1.0	S A_A M A N
بحریہ 1.0	B A H A R J A_A
نایاب 1.0	N A_A J A_A B
زمہ 1.0	Z U M A_A
تماشوئیوں 1.0	T_D A M A_A S_H U_U II O_O_N
بیٹھا 1.0	B AE T_H A_A
کھاتا 1.0	K_H A_A T_D A_A
برعکس 1.0	B A R A K S
عالم 1.0	A_A L I M
جاگنے 1.0	D_Z A_A G N A_Y
میکے 1.0	M AE K A_Y
گارمنٹس 1.0	G A_A R M A N T S
بنچوں 1.0	B A N TS O_O_N
مرکز 1.0	M U R K A Z
ڈاکٹرز 1.0	D A_A K T A R Z
عفت 1.0	I F F A T_D
انشراح 1.0	I N S_H I R A_A
نصاب 1.0	N I S A_A B
ترتیب 1.0	T_D A R T_D II B
بحرین 1.0	B A H R II N
اسکولوں 1.0	I S K U_U L O_O_N
حزیم 1.0	H A Z II M
فہمی 1.0	F AE_H H M II
تباہی 1.0	T_D A B A_A H II
سچے 1.0	S A TS TS A_Y
کشمیری 1.0	K A S_H M II R II
کارکن 1.0	K A_A R K U N
بجاتا 1.0	B A D_Z A_A T_D A_A
سیاستدان 1.0	S II A_A S T_D I D_D A_A N
دھجیاں 1.0	D_D_H U D_Z D_Z I J A_A_N
تجربے 1.0	T_D A D_Z R A B A_Y
تبصرے 1.0	T_D A B S A R A_Y
تمہارا 1.0	T_D U M H A_A R A_A
تجربہ 1.0	T_D A D_Z R I B A_A
عرفانہ 1.0	I R F A_A N A_A
تجربات 1.0	T_D A D_Z R I B A_A T_D
اظہارکِیا 1.0	I Z H A_A R A_Y K I J A_A
شیما 1.0	S_H AE M A_A
زاہر 1.0	Z A_A H I R
ملکوال 1.0	M A L K A V A_A L
راگنی 1.0	R A_A G N II
ضیا 1.0	Z A J A_A
زاہد 1.0	Z A_A H I D_D
کاروبار 1.0	K A_A R O_O B A_A R
ہماس 1.0	H A M M A_A S
پھولنا 1.0	P_H U_U L N A_A
سمندر 1.0	S A M A N D_D A R
مبینہ 1.0	M U B II N A_A
حسنات 1.0	H A S A N A_A T_D
سائیکلیں 1.0	S A_A II K L A_Y_N
رئیسہ 1.0	R A II S A_A
ہمان 1.0	H A M A_A N
حسناء 1.0	H I S N A_A
عطیات 1.0	A T_D I J A_A T_D
تنخواہ 1.0	T_D A N X A_A
گھوٹکی 1.0	G_H O_O T K II
بنایا 1.0	B A N A_A J A_A
سچا 1.0	S A TS TS A_A
کمیشن 1.0	K A M II S_H A N
طاقتیں 1.0	T_D A_A Q A T_D A_Y_N
اڑاؤ 1.0	U R_R A_A O_O
قرض 1.0	Q A R Z
ضمنی 1.0	Z I M A N II
فہیمہ 1.0	F A H II M A_A
صوابی 1.0	S A V V A_A B II
گولی 1.0	G O_O L II
بیٹھتا 1.0	B AE T_H T_D A_A
حقانی 1.0	H A Q Q A_A N II
ڈاکہ 1.0	D A_A K A_A
کمپنیوں 1.0	K A M P A N II O_O_N
نہس 1.0	N A H A S
نہر 1.0	N AE_H H R
بشیر 1.0	B A S_H II R
لللہ 1.0	L A L L A H
نہا 1.0	N A H H A_A
بسی 1.0	B A S II
شرٹ 1.0	S_H A R T
کھیلیں 1.0	K_H A_Y L A_Y_N
بسا 1.0	B A S A_A
چربہ 1.0	TS A R B A_A
اظہار 1.0	I Z H A_A R
جعلی 1.0	D_Z A_A L II
وانا 1.0	V A_A N A_A
جھنگ 1.0	D_Z_H A N_G
قزافی 1.0	Q A Z Z A_A F II
اڑانے 1.0	U R_R A_A N A_Y
قیامت 1.0	Q I J A_A M A T_D
ڈیوٹی 1.0	D I J U_U T II
دلبر 1.0	D_D I L B A R
صباح 1.0	S A B A_A
ڈاکو 1.0	D A_A K O_O
برا 1.0	B A R A_A
غازی 1.0	G_G A_A Z II
نہی 1.0	N A H II
گھریلو 1.0	G_H A R A_Y L U_U
عظیمہ 1.0	A Z II M A_A
دیہی 1.0	D_D A_Y H II
آپس 1.0	A_A P S
روپے 1.0	R U_U P A_Y
نگلہ 1.0	N I G L A_A
بیٹھتے 1.0	B AE T_H T_D A_Y
کیفرِکردار 1.0	K AE F A R A_Y K A R D_D A_A R
تمہارے 1.0	T_D U M H A_A R A_Y
بچت 1.0	B A TS A T_D
کومدِنظر 1.0	K O_O M D_D A_Y N A Z A R
غذا 1.0	G_G I Z A_A
غیور 1.0	G_G A J J U_U R
منانے 1.0	M A N A_A N A_Y
ذبح 1.0	Z A B H
پوچھا 1.0	P U_U TS_H A_A
قلات 1.0	Q A L L A_A T_D
دفتر 1.0	D_D A F T_D A R
لگانا 1.0	L A G A_A N A_A
فرخندہ 1.0	F A R X A N D_D A_A
سکندر 1.0	S I K A N D_D A R
تارص 1.0	T_D A_A R I S
اسد 1.0	A S A D_D
مطمئن 1.0	M U T_D M A I N
شبیر 1.0	S_H A B II R
مسلمان 1.0	M U S L I M A_A N
محمود 1.0	M A H M U_U D_D
چلے 1.0	TS A L L A_Y
حمیدہ 1.0	H A M II D_D A_A
بڑوں 1.0	B A R_R O_O_N
قیمتی 1.0	Q II M T_D II
افسانے 1.0	A F S A_A N A_Y
مجالسِ 1.0	M U D_Z A_A L I S A_Y
پمپ 1.0	P A M P
قیدیوں 1.0	Q AE D_D II O_O_N
ٹیکنالوجی 1.0	T AE K N A_A L O_O D_Z II
بارانی 1.0	B A_A R A_A N II
بکھیرنی 1.0	B A K_H A_Y R N II
دریا 1.0	D_D A R J A_A
زندہ 1.0	Z I N D_D A_A
ڈنگہ 1.0	D A N_G G A_A
زلیخا 1.0	Z U L A_Y X A_A
چلا 1.0	TS A L L A_A
احتیاط 1.0	I H T_D I J A_A T_D
جیکب 1.0	D_Z AE K A B
اسے 1.0	A S A_Y
مخلص 1.0	M U X A L L I S
ترقی 1.0	T_D A R A Q Q II
چلن 1.0	TS A L A N
چلو 1.0	TS A L O_O
ڈر 1.0	D A R
علاقے 1.0	A L L A_A Q A_Y
دشوار 1.0	D_D U S_H V A_A R
کاروبارِ 1.0	K A_A R O_O B A_A R A_Y
آشفتہ 1.0	A_A S_H U F T_D A_A
اونٹ 1.0	U_U N T
حصے 1.0	H I S S A_Y
حصہ 1.0	H I S S A_A
زیرِ 1.0	Z A_Y R A_Y
نافذ 1.0	N A_A F I Z
ہالوں 1.0	H A_A L O_O_N
البم 1.0	A L B A M
زرینہ 1.0	Z A R II N A_A
انڈسٹری 1.0	I N D A S T A R II
ڈے 1.0	D A_Y
ڈی 1.0	D II
صاعقہ 1.0	S A_A I Q A_A
پلنگ 1.0	P A L A N_G
باہر 1.0	B A_A H A R
بنوں 1.0	B A N O_O_N
تلہ 1.0	T_D A L L A_A
امکانات 1.0	I M K A_A N A_A T_D
ٹاور 1.0	T A_A V A R
ذمہ 1.0	Z I M M A_A
تلے 1.0	T_D A L A_Y
تلخ 1.0	T_D A L X
ضلع 1.0	Z A L
سفینہ 1.0	S A F II N A_A
ونشریات 1.0	V A N S_H A R J A_A T_D
ترین 1.0	T_D A R II N
ساڑھے 1.0	S A_A R_R_H A_Y
احتسابی 1.0	A_Y H T_D I S A_A B II
گارڈن 1.0	G A_A R D A N
چوہدری 1.0	TS O H D_D R II
ساڑھی 1.0	S A_A R_R_H II
دیئے 1.0	D_D II A_Y
معطل 1.0	M U A T_D T_D I L
پنجگور 1.0	P A N D_Z G U_U R
ذرائع 1.0	Z A R A_A A_Y
اختر 1.0	I X T_D A R
جاریہ 1.0	D_Z A_A R J A_A
تھپتھپائیں 1.0	T_D_H A P T_D_H A P A_A A_Y_N
نشاط 1.0	N A S_H S_H A_A T_D
جٹرانوالہ 1.0	D_Z A T R A_A N V A_A L A_A
سانحہ 1.0	S A_A N I H A_A
وارداتوں 1.0	V A_A R D_D A_A T_D O_O_N
اخلاقی 1.0	I X L A_A Q II
ماننا 1.0	M A_A N N A_A
عیسی 1.0	AE S II
سانحے 1.0	S A_A N H A_Y
حصص 1.0	H I S S
انتقام 1.0	I N T_D I Q A_A M
گوشی 1.0	G O_O S_H II
امیرہ 1.0	A M II R A_A
دھماکے 1.0	D_D_H A M A_A K A_Y
مؤقف 1.0	M U_U A Q Q A F
ماڈل 1.0	M A_A D A L
طاؤس 1.0	T_D A_A U_U S
راشد 1.0	R A_A S_H I D_D
جیسا 1.0	D_Z AE S A_A
رائمہ 1.0	R A_A I M A_A
محلہ 1.0	M U H A L L A_A
مہریں 1.0	M O_O_H H R A_Y_N
درخواست 1.0	D_D A R X A_A S T_D
سلیقے 1.0	S A L II Q A_Y
محلے 1.0	M A H L A_Y
روائتی 1.0	R I V A_A II T_D II
سلیقہ 1.0	S A L II Q A_A
بلوں 1.0	B A L O_O_N
چھتری 1.0	TS_H A T_D R II
پہنچایا 1.0	P AE_H H N TS A_A J A_A
نچلی 1.0	N I TS L II
شمائلہ 1.0	S_H A M A_A I L A_A
رؤف 1.0	R A U_U F
امراء 1.0	A M R A_A
عمدہ 1.0	A M D_D A_A
سڑک 1.0	S A R_R A K
چاہیئے 1.0	TS A_A H II A_Y
نجمہ 1.0	N A D_Z M A_A
نچلے 1.0	N I TS L A_Y
امراض 1.0	A M R A_A Z
آراء 1.0	A_A R A_A
نتیجہ 1.0	N A T_D II D_Z A_A
محفوظ 1.0	M A H F U_U Z
فنکاروں 1.0	F A N K A_A R O_O_N
منتخب 1.0	M U N T_D A X A B
عبیدہ 1.0	A B II D_D A_A
ججوں 1.0	D_Z I D_Z U_U_N
منزلیں 1.0	M A N Z I L A_Y_N
ابوالحسن 1.0	A B V A L H A S A N
ضامن 1.0	Z A_A M I N
ہیام 1.0	H I J A_A M
جاپان 1.0	D_Z A_A P A_A N
آرام 1.0	A_A R A_A M
منیر 1.0	M U N II R
خادمہ 1.0	X A_A D_D I M A_A
فائقہ 1.0	F A_A I Q A_A
مزنہ 1.0	M A Z N A_A
ٹیکسالی 1.0	T AE K S A_A L II
دیبا 1.0	D_D II B A_A
کڑے 1.0	K A R_R A_Y
منطر 1.0	M A N T_D A R
سلا 1.0	S I L A_A
مصنفین 1.0	M U S A N F I J A N
مطالبات 1.0	M U T_D A_A L A B A_A T_D
عمر 1.0	U M A R
بااثر 1.0	B A_A A S A R
منطق 1.0	M U N T_D I Q
پڑنے 1.0	P A R_R N A_Y
بندھی 1.0	B A N D_D_H II
عمل 1.0	A M A L
رافعہ 1.0	R A_A F I A_A
تقریب 1.0	T_D A Q R II B
بہاؤالدین 1.0	B A H A V A_A L D_D II N
ڈیڑھ 1.0	D A_Y R_R_H
عصمت 1.0	I S M A T_D
مزنگ 1.0	M A Z I N_G
اریبہ 1.0	A R II B A_A
تقریر 1.0	T_D A Q R II R
مومنا 1.0	M O_O M N A_A
امپائروں 1.0	I M P A_A I R O_O_N
فیض 1.0	F AE Z
طبلہ 1.0	T_D A B L A_A
بندھن 1.0	B A N D_D_H A N
لگاؤ 1.0	L A G A_A O_O
تھیٹروں 1.0	T_D_H A_Y T R O_O_N
سلطان 1.0	S U L T_D A_A N
خدمات 1.0	X I D_D M A_A T_D
فیل 1.0	F A_Y L
مشینں 1.0	M A S_H II N
شبہات 1.0	S_H A B H A_A T_D
ذرا 1.0	Z A R R A_A
قیمتیں 1.0	Q II M A T_D A_Y_N
جامی 1.0	D_Z A_A M II
ابوالخیر 1.0	A B V A L X A_Y R
تاریخی 1.0	T_D A_A R II X II
حربی 1.0	H A R B II
آفات 1.0	A_A F A_A T_D
گرمی 1.0	G I R M II
خاکے 1.0	X A_A K A_Y
لگی 1.0	L A G II
کائنات 1.0	K A_A I N A_A T_D
پکڑ 1.0	P A K K A R_R
مردانہ 1.0	M A R D_D A_A N A_A
اشعار 1.0	A S_H A_A R
لگے 1.0	L A G A_Y
طرف 1.0	T_D A R F
مِلی 1.0	M I L II
طرز 1.0	T_D A R Z
طرح 1.0	T_D A R H
چل 1.0	TS I L
واحدہ 1.0	V A_A H I D_D A_A
انشال 1.0	I N S_H A_A L
مہنگا 1.0	M A H N_G G A_A
چپ 1.0	TS A P
آفاق 1.0	A_A F A_A Q
چچی 1.0	TS A TS II
دامنِکوہ 1.0	D_D A_A M I N I K V A_A
فہد 1.0	F A H D_D
واقع 1.0	V A_A Q A_Y
سنایا 1.0	S U N A_A J A_A
مہنگی 1.0	M AE_H H N_G II
تلواڑہ 1.0	T_D A L V A_A R_R A_A
تاریخِ 1.0	T_D A_A R II X A_Y
ابساط 1.0	A B S A_A T_D
مذہب 1.0	M A Z H A B
پکا 1.0	P A K K A_A
تبدیل 1.0	T_D A B D_D II L
مِلا 1.0	M I L A_A
لگن 1.0	L A G A N
چھ 1.0	TS_H A_Y
واحدت 1.0	V A_A H I D_D A T_D
ٹوٹنے 1.0	T U_U T N A_Y
چک 1.0	TS A K
کموک 1.0	K A M U_U K
مردان 1.0	M U R D_D A_A N
مختاری 1.0	M U X T_D A_A R II
تمنا 1.0	T_D A M A N N A_A
لگا 1.0	L A G A_A
شورکوٹ 1.0	S_H O_O R K O_O T
ابسام 1.0	A B S A_A M
شادیوں 1.0	S_H A_A D_D II O_O_N
فہمیدہ 1.0	F AE_H H M II D_D A_A
متبادل 1.0	M U T_D A B A_A D_D I L
جامد 1.0	D_Z A_A M I D_D
گرما 1.0	G A R M A_A
اسلم 1.0	A S L A M
جامع 1.0	D_Z A_A M A_Y
کلمات 1.0	K A L A M M A_A T_D
اُسے 1.0	U S A_Y
سارک 1.0	S A_A R K
رفتہ 1.0	R A F T_D A_A
میزبان 1.0	M A_Y Z B A_A N
فوزیہ 1.0	F O_O Z I J A_A
گجرات 1.0	G U D_Z R A_A T_D
ٹینٹ 1.0	T AE N T
مخالفت 1.0	M U X A_A L A F A T_D
راکا 1.0	R A_A K A_A
شارقہ 1.0	S_H A_A R Q A_A
بہترین 1.0	B AE_H H T_D A R II N
بولتے 1.0	B O_O L T_D A_Y
سیاست 1.0	S I J A_A S A T_D
سارہ 1.0	S A_A R A_A
ساری 1.0	S A_A R II
سکیں 1.0	S A K A_Y_N
سپاہی 1.0	S I P A_A H II
تحفہِ 1.0	T_D A H F A_A A_Y
تعمیروترقی 1.0	T_D A_A M II R O_O T_D A R Q II
علامہ 1.0	A L L A_A M A_A
گھوڑیاں 1.0	G_H O_O R_R II A_A_N
سارے 1.0	S A_A R A_Y
ٹینا 1.0	T II N A_A
پردے 1.0	P A R D_D A_Y
مبارکباد 1.0	M U B A_A R A K B A_A D_D
سارا 1.0	S A_A R A_A
ناواقف 1.0	N A_A V A_A Q I F
بنانا 1.0	B A N A_A N A_A
مانتا 1.0	M A_A N T_D A_A
غزالہ 1.0	G_G A Z A_A L A_A
سکیم 1.0	S A K II M
پیکنگ 1.0	P AE K I N_G
بولتا 1.0	B O_O L T_D A_A
راکھ 1.0	R A_A K_H
دورے 1.0	D_D O R A_Y
نشین 1.0	N A S_H II N
دورہ 1.0	D_D O R A_A
وائرس 1.0	V A_A I R A S
جنوری 1.0	D_Z A N V A R II
نعیمہ 1.0	N A II M A_A
چھلکوں 1.0	TS_H A L K O_O_N
ہمسائے 1.0	H A M S A_A A_Y
ٹینک 1.0	T AE N K
پہننے 1.0	P AE_H H A N N A_Y
مچایا 1.0	M A TS A_A J A_A
اجاڑ 1.0	U D_Z A_A R_R
ڈھارس 1.0	D_H A_A R A S
نبی 1.0	N A B II
مخوص 1.0	M U X U_U S
منرو 1.0	M A N R U_U
ویرانوں 1.0	V II R A_A N O_O_N
سوکھ 1.0	S U_U K_H
سبزیاں 1.0	S A B Z I J A_A_N
خدیجہ 1.0	X A D_D II D_Z A_A
قنبر 1.0	Q A M B A R
محنت 1.0	M A_Y H N A T_D
دئے 1.0	D_D I A_Y
مگر 1.0	M A G A R
سہولتوں 1.0	S U H U_U L A T_D O_O_N
تنخواہیں 1.0	T_D A N X A_A H A_Y_N
امیدواروں 1.0	U M II D_D V A_A R O_O_N
دیتا 1.0	D_D A_Y T_D A_A
وکٹوں 1.0	V I K T O_O_N
عاکف 1.0	A_A K I F
لکشمی 1.0	L A K S_H A M II
شفیقہ 1.0	S_H A F II Q A_A
بشارت 1.0	B A S_H A_A R A T_D
کرکٹ 1.0	K A R K A T
تمھارا 1.0	T_D U M A_A R A_A
بکاؤ 1.0	B A K A_A O_O
ا 1.0	A
حائر 1.0	H A_A I R
ڈیزائین 1.0	D II Z A_A II N
دیتے 1.0	D_D A_Y T_D A_Y
دیتی 1.0	D_D A_Y T_D II
انٹرویو 1.0	I N T A R V II V
پھیلانے 1.0	P_H AE L A_A N A_Y
فصلیں 1.0	F A S L A_Y_N
حرا 1.0	H U R R A_A
الزام 1.0	I L Z A_A M
فخریہ 1.0	F A X R I J A_A
یونیورسٹی 1.0	J U_U N II V A R S I T II
نبض 1.0	N A B Z
رستم 1.0	R U S T_D A M
آدمیوں 1.0	A_A D_D M II O_O_N
قبرستان 1.0	Q A B R I S T_D A_A N
افزائی 1.0	A_A F Z A_A II
ابتداء 1.0	I B T_D I D_D A_A
درانی 1.0	D_D U R A_A N II
اولین 1.0	O L II N
بیلا 1.0	B A_Y L A_A
قصور 1.0	Q U S U_U R
پیر 1.0	P II R
رہا 1.0	R A H A_A
پیش 1.0	P A_Y S_H
زکیہ 1.0	Z A K J A_A
اقسام 1.0	A Q S A_A M
دوائیوں 1.0	D_D A V A_A II O_O_N
ہال 1.0	H A_A L
نفاذ 1.0	N A F A_A Z
کوٹری 1.0	K O_O T R II
معاشرہ 1.0	M U A_A S_H A R A_A
ناصر 1.0	N A_A S I R
معاشرے 1.0	M U A_A S_H R A_Y
انتظامات 1.0	I N T_D I Z A_A M A_A T_D
پیٹ 1.0	P II T
خیبر 1.0	X AE B A R
ہار 1.0	H A_A R
اخبارات 1.0	A X B A_A R A_A T_D
بلتستان 1.0	B A L T_D I S T_D A_A N
فرصت 1.0	F A R S A T_D
فلموں 1.0	F I L M O_O_N
حبیب 1.0	H A B II B
پیڑ 1.0	P II R_R
کرشن 1.0	K A R A S_H N
تنزیل 1.0	T_D A N Z II L
ذریعے 1.0	Z A R II A_Y
زیرِبحث 1.0	Z A_Y R A_Y B A H S
طالبعلم 1.0	T_D A_A L A_Y B A_Y L A M
ذریعہ 1.0	Z A R II A_A
مثالی 1.0	M I S A_A L II
اداکاراؤں 1.0	A D_D A_A K A_A R A_A O_O_N
رہے 1.0	R A H A_Y
سکرپٹ 1.0	S I K R I P T
گاؤں 1.0	G A_A U_U_N
رہی 1.0	R A H II
اگر 1.0	A G A R
حیرانی 1.0	H AE R A_A N II
لکھوں 1.0	L I K_H K_H O_O_N
برطرفی 1.0	B A R T_D A R F II
ترسی 1.0	T_D A R S II
ٹیلی 1.0	T A_Y L II
ماہانہ 1.0	M A_A H A_A N A_A
غفوراں 1.0	G_G A F U_U R A_A_N
نوفل 1.0	N O F I L
رقوم 1.0	R A Q U_U M
خریدتے 1.0	X A R II D_D T_D A_Y
بھجوا 1.0	B_H I D_Z V A_A
کثیر 1.0	K A S II R
انتظامیہ 1.0	I N T_D I Z A_A M I J A_A
ورزی 1.0	V A R Z II
دیکھیں 1.0	D_D A_Y K_H A_Y_N
دنیا 1.0	D_D U N J A_A
مھین 1.0	M II N
پورے 1.0	P U_U R A_Y
انصاف 1.0	I N S A_A F
پورہ 1.0	P U_U R A_A
اہلکار 1.0	A H A L K A_A R
پوری 1.0	P U_U R II
نیاز 1.0	N I J A_A Z
نشانیاں 1.0	N I S_H A_A N I J A_A_N
میو 1.0	M I J U_U
رئیس 1.0	R A II S
سبھی 1.0	S A B_H II
پورا 1.0	P U_U R A_A
میلے 1.0	M II L A_Y
ورزش 1.0	V A R Z I S_H
گھروں 1.0	G_H A R O_O_N
سبزیوں 1.0	S A B Z II J O_O_N
افواج 1.0	A F V A_A D_Z
قبائلی 1.0	Q A B A_A I L II
شعور 1.0	S_H U U_U R
بنیادوں 1.0	B U N J A_A D_D O_O_N
باشندہ 1.0	B A_A S_H I N D_D A_A
زیبا 1.0	Z A_Y B A_A
پیتے 1.0	P II T_D A_Y
سعد 1.0	S A_A D_D
دوست 1.0	D_D O_O S T_D
سہالہ 1.0	S A H A_A L A_A
تاشفین 1.0	T_D A_A S_H I F II N
شہاب 1.0	S_H A H A_A B
ڈھاٹا 1.0	D_H A_A T A_A
میئر 1.0	M A_Y A R
رکتی 1.0	R U K T_D II
صلاح 1.0	S A L L A_A
ٹاس 1.0	T A_A S
بندرگاہوں 1.0	B A N D_D A R G A_A H O_O_N
لگنے 1.0	L A G N A_Y
اہلِ 1.0	A H L A_Y
انجم 1.0	I N D_Z A M
فرزین 1.0	F A R Z II N
چوک 1.0	TS O K
ضروریات 1.0	Z U R U_U R II J A_A T_D
سنائیے 1.0	S U N A_A II A_Y
خوراک 1.0	X O R A_A K
ووٹنگ 1.0	V U_U T I N_G
اوکاڑہ 1.0	O K A_A R_R A_A
لڑکو 1.0	L A R_R K O_O
اسّی 1.0	A S S II
مشورہ 1.0	M A S_H V A R A_A
ارکانِ 1.0	A R K A_A N A_Y
مشورے 1.0	M A S_H V A R A_Y
ادویات 1.0	A D_D V I J A_A T_D
عاقلہ 1.0	A_A Q I L A_A
گیتوں 1.0	G II T_D O_O_N
سمن 1.0	S A M A N
طائی 1.0	T_D A_A II
منٹو 1.0	M I N T O_O
سائرہ 1.0	S A_A I R A_A
پرتکلف 1.0	P U R T_D A K A L L U F
زیادہ 1.0	Z I J A_A D_D A_A
